,index,ticker,ytdReturn,3 Year,yield_db,esg_global_score,id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,basic_materials,communication_services,consumer_cyclical,consumer_defensive,energy,financial_services,healthcare,industrials,realestate,technology,utilities,stock_id,meanAnnualReturn,standardDeviation
56,189,FSZ,0.048,0.0378,0.00026000000000000003,0.8854000000000001,67,FSZ,0.0253,0.041386900000000004,0.04240119999999999,0.0648774,0.0007,0.9993,0.0,0.0,0.0696,0.041300002,0.115,0.04,0.0,0.21149999,0.152,0.2458,0.0638,0.0177,0.0432,67,0.58,19.01
57,190,EWUS,-0.0434,-0.0287,0.000189,0.8839,68,EWUS,0.0178,-0.0556814,-0.031880200000000004,-0.031170102,0.0072000003,0.9636,0.0,0.0293,0.0313,0.0634,0.204,0.0695,0.03,0.1618,0.0583,0.2006,0.0919,0.0738,0.0154,68,0.03,26.14
58,192,IDEV,0.0397,0.042699999999999995,0.00024400000000000002,0.8832,70,IDEV,0.024400001,0.0313911,0.0416176,0.0414763,0.0077,0.9913,0.0,0.00029999999,0.0794,0.0395,0.109799996,0.0861,0.063200004,0.1924,0.1146,0.16540001,0.033299997000000005,0.0858,0.0305,70,0.42,18.84
59,193,EWC,0.0184,0.0761,0.000249,0.8814,71,EWC,0.025,0.014452700000000002,0.0782111,0.06227100000000001,0.0052,0.9949,0.0,0.0,0.1042,0.015800001,0.056199998,0.0353,0.1929,0.348,0.0,0.1296,0.006,0.0832,0.028900001,71,0.63,21.43
60,194,HEWC,0.039,0.0981,0.0008730000000000001,0.8814,72,HEWC,0.0254,0.0333819,0.10045810000000001,0.082565695,0.0056,0.9944,0.0,0.0,0.1042,0.015800001,0.056199998,0.0353,0.1929,0.348,0.0,0.1296,0.006,0.0832,0.028900001,72,0.72,16.12
61,195,EPP,-0.0638,0.0182,0.00038100000000000005,0.8786,73,EPP,0.0383,-0.07480629999999999,0.0158699,0.021683098999999997,0.01,0.9899,0.0,0.0,0.16229999,0.026500002,0.060700002999999995,0.0418,0.0456,0.38189998,0.0684,0.0771,0.095699996,0.014400001,0.0257,73,0.29,21.16
62,197,DSI,0.1479,0.0843,0.000128,0.8776,75,DSI,0.013099999,0.13652650000000002,0.08662710000000001,0.1153711,0.0028,0.9973,0.0,0.0,0.0248,0.0926,0.105900005,0.0723,0.0173,0.1182,0.1103,0.090500005,0.0293,0.32840002,0.0104,75,0.98,19.4
63,198,EFV,0.0771,0.09880000000000001,0.00037999999999999997,0.8774,76,EFV,0.0379,0.06744789999999999,0.0970471,0.031925,0.0083,0.9917,0.0,0.0,0.0928,0.0433,0.0915,0.0602,0.0919,0.2875,0.0916,0.1368,0.0361,0.0146,0.0539,76,0.38,19.8
64,199,PICB,-0.0127,-0.0863,0.023,0.8772,77,PICB,0.0217,-0.011720900000000001,-0.0881334,-0.027425,0.0027,0.0,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77,-0.17,11.78
65,201,IHF,-0.0425,0.06709999999999999,8.9e-05,0.8726,78,IHF,0.0093,-0.048727497,0.0693605,0.0703025,0.001,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0031,0.9952,0.0,0.0,0.0,0.0,78,0.63,20.04
66,202,PXF,0.0678,0.0998,0.0342,0.8711,79,PXF,0.034,0.05583740400000001,0.0970505,0.044320599999999995,-0.0017,1.0001999,0.0,0.0013,0.089499995,0.0469,0.1028,0.0713,0.09689999,0.2551,0.0688,0.1397,0.0229,0.064,0.0421,79,0.47,20.14
67,203,SDG,-0.0694,-0.0231,0.00018800000000000002,0.8708,80,SDG,0.0184,-0.0804165,-0.022587199,0.07290369999999999,0.0061000003,0.9939,0.0,0.0,0.0704,0.012,0.0655,0.2035,0.0,0.0,0.2027,0.1826,0.174,0.0538,0.0356,80,0.68,17.99
68,204,SPDW,0.0433,0.037599999999999995,0.0288,0.8708,81,SPDW,0.0298,0.034397699999999996,0.03592290000000001,0.038349699999999994,0.0086,0.987,0.0025,0.0015,0.079,0.0438,0.114300005,0.0865,0.058000002,0.18059999,0.113199994,0.165,0.028399998,0.1018,0.0295,81,0.4,18.44
69,205,RSPT,0.16,0.0872,0.0373,0.8698999999999999,82,RSPT,0.0066000004,0.14389870000000002,0.08648521,0.1356476,-0.00029999999,1.0002999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82,1.16,23.23
70,207,EWK,-0.044500000000000005,0.0255,0.000195,0.8671,84,EWK,0.019199999,-0.053815699999999994,0.0245183,0.0075604,0.0111,0.9889,0.0,0.0,0.0517,0.0145000005,0.0252,0.2733,0.0187,0.1915,0.20629999,0.08109999400000001,0.09729999,0.020599999,0.0198,84,0.23,21.1
71,208,RDIV,-0.1315,0.1362,0.046799999999999994,0.8647,85,RDIV,0.0468,-0.1442154,0.1346872,0.0339449,0.0,1.0,0.0,0.0,0.1355,0.0424,0.1321,0.0952,0.0016,0.26860002,0.033099998,0.0508,0.056399997,0.0757,0.1086,85,0.58,25.9
72,209,IDMO,0.0662,0.0567,0.0319,0.8642,86,IDMO,0.0318,0.05674019999999999,0.056188002,0.0804367,-0.0014,0.9946,0.0,0.0068,0.0788,0.0086,0.1262,0.020499998999999998,0.0091,0.3318,0.0531,0.2364,0.0,0.1042,0.0313,86,0.66,16.59
73,210,TDIV,0.1905,0.0953,0.00019199999999999998,0.8614,87,TDIV,0.019299998999999998,0.17627720000000002,0.09513630000000001,0.115580596,0.0041,0.9959,0.0,0.0,0.0,0.1441,0.0,0.0,0.0,0.0018000001,0.0,0.0028,0.0,0.8514,0.0,87,0.99,20.27
74,211,EFAV,0.0321,0.0023,0.000278,0.8601000000000001,88,EFAV,0.0277,0.032393,0.0023767,0.0135322,0.0064,0.9921,0.0015,0.0,0.0309,0.089899994,0.070199996,0.15020001,0.0186,0.1573,0.1919,0.1601,0.0163,0.0341,0.0805,88,0.12,13.48
75,212,VEA,0.042699999999999995,0.0415,0.000319,0.8590000000000001,89,VEA,0.0319,0.0343732,0.0401651,0.040192097,0.02,0.9784,0.0,0.0016,0.0779,0.0397,0.1087,0.0808,0.0589,0.1903,0.1109,0.16899999999999998,0.0332,0.1014,0.0291,89,0.41,19.03
76,213,FTXG,-0.14859999999999998,0.0241,0.000442,0.8567,90,FTXG,0.0416,-0.1519049,0.0260079,0.042369699999999996,0.032899998,0.96709996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0.59,15.46
77,214,NXTG,0.1108,0.047599999999999996,0.000165,0.8552,91,NXTG,0.0162,0.1013692,0.046764396,0.0942123,0.0058999998,0.9940000000000001,0.0,0.0,0.0,0.2624,0.0,0.0,0.0,0.0,0.0,0.023699999,0.0779,0.6361,0.0,91,0.8,18.62
78,215,EAOA,0.0639,0.030299999999999997,0.000215,0.8525,92,EAOA,0.0207,0.0554673,0.031089101,0.0,0.012999999,0.8042,0.1826,0.0,0.039,0.0716,0.109799996,0.07110000400000001,0.0504,0.14400000000000002,0.122600004,0.1094,0.0269,0.2322,0.0229,92,0.0,0.0
79,216,FIW,0.0172,0.0764,7.2e-05,0.8499,93,FIW,0.0073,0.0150101,0.0808192,0.120310895,0.0023,0.9977,0.0,0.0,0.0396,0.0,0.0,0.012200001,0.0,0.0,0.1587,0.5221,0.0,0.0809,0.1865,93,1.05,20.81
80,217,RSPS,-0.13470000000000001,0.0181,0.08349999999999999,0.8454999999999999,94,RSPS,0.0271,-0.1356172,0.022332001,0.0485691,-0.0017,1.0016999,0.0,0.0,0.0,0.0,0.0,0.97370005,0.0,0.0,0.026300002000000003,0.0,0.0,0.0,0.0,94,0.55,15.02
81,218,ISZE,0.0161,0.0147,0.000313,0.8423,95,ISZE,0.031,0.009217200000000002,0.014683799999999999,0.019643199,0.0073,0.9919,0.0,0.0,0.0943,0.0502,0.1089,0.0752,0.041500002,0.1702,0.068,0.2009,0.0701,0.0746,0.0461,95,0.27,18.92
82,219,ECLN,-0.0984,0.0311,0.00027000000000000006,0.8422,96,ECLN,0.025999999,-0.1046408,0.032283,0.0,0.114300005,0.8857,0.0,0.0,0.0,0.0,0.0,0.0,0.24790001,0.0,0.0,0.024300002,0.0255,0.0092,0.6931,96,0.0,0.0
83,220,EWJ,0.0902,0.0147,9.3e-05,0.8375,97,EWJ,0.0092,0.0825337,0.0119862,0.022742099999999998,0.0093,0.9907,0.0,0.0,0.046,0.07,0.162,0.0573,0.009000000000000001,0.1274,0.0875,0.2367,0.031400002999999996,0.1608,0.0117999995,97,0.24,16.27
84,221,HEWJ,0.29460000000000003,0.1643,0.003604,0.8373999999999999,98,HEWJ,0.0058999998,0.285081,0.162638,0.1034375,0.010199999,0.98980004,0.0,0.0,0.046,0.07,0.162,0.0573,0.009000000000000001,0.1274,0.0875,0.2367,0.031400002999999996,0.1608,0.0117999995,98,0.85,15.82
85,222,JXI,-0.0926,-0.0032,0.000366,0.8331000000000001,99,JXI,0.0368,-0.0987117,-0.0021418,0.043951,0.0017,0.9983,0.0,0.0,0.0,0.0,0.0,0.0,0.0072000003,0.0,0.0,0.012999999,0.0,0.0,0.97980005,99,0.51,15.99
86,223,EDOW,0.021099999999999997,0.0684,0.000196,0.8321999999999999,100,EDOW,0.0199,0.0153528,0.07156449599999999,0.06665349999999999,0.0054,0.9946,0.0,0.0,0.0327,0.0675,0.0963,0.1003,0.0352,0.1713,0.1721,0.1301,0.0,0.19440001,0.0,100,0.64,18.27
