stock_id,meanAnnualReturn,standardDeviation
270,0.78,24.24
270,0.84,20.43
271,-0.16,19.86
271,-0.09,18.95
271,0.05,15.91
272,0.84,18.3
272,0.63,17.5
272,0,0
273,0.14,2.43
273,-0.01,2.13
273,0.13,1.8
274,0,0
274,-0.39,5.84
274,0,0
275,0.63,17.13
275,0.66,14.96
275,0,0
276,0,0
276,0.99,18.18
276,0,0
277,0,0
277,0,0
277,0,0
278,0.61,23.11
278,0.94,19.63
278,0.72,17.87
279,0,0
279,-0.31,7.18
279,0,0
280,0,0
280,0,0
280,0,0
281,0.6,19.74
281,1.2,18.35
281,0.79,15.07
282,0,0
282,0,0
282,0,0
283,-0.35,15.65
283,-0.22,16.56
283,-0.22,15.38
284,0,0
284,0,0
284,0,0
285,0.25,5.79
285,-0.17,4.47
285,0,0
286,0.74,22.15
286,1.18,19.26
286,0.83,17.06
287,0.14,1.12
287,0.13,0.67
287,0,0
288,0,0
288,0,0
288,0,0
289,0.85,23.73
289,1.06,22.8
289,0.83,19.57
290,0.56,15.39
290,0.51,14.48
290,0.78,12.38
291,0,0
291,0.62,22.8
291,0,0
292,1.04,20.76
292,0.71,19.85
292,1.11,16.82
293,0.73,19.09
293,0.99,17.33
293,0,0
294,0,0
294,0.9,21.92
294,0,0
295,0.63,22.92
295,1.26,19.87
295,0.79,17.62
296,-0.16,19.35
296,-0.23,18.98
296,0.11,15.5
297,0.83,24.98
297,1.08,24.24
297,0.77,20.56
298,0.15,3.63
298,-0.08,3.22
298,0.12,2.62
299,0.22,7.73
299,-0.26,6.45
299,0,0
300,0,0
300,-0.41,8.24
300,0,0
301,0,0
301,0.39,36.15
301,0,0
302,1.25,21.42
302,0.9,21.15
302,1.33,16.79
303,0.14,3.68
303,-0.09,3.3
303,0.15,2.76
304,0.15,21.5
304,0.63,19.29
304,0.15,18.24
305,0,0
305,-0.4,8.06
305,0,0
306,0.66,18.52
306,0.69,17.36
306,0.71,14.68
307,0.38,12.69
307,0.33,12.1
307,0.59,10.44
308,0.85,19.46
308,1.11,17.51
308,0,0
309,0.71,17.22
309,0.63,16.45
309,0.93,13.78
310,0.6,17.97
310,0.99,16.14
310,0.72,14.13
311,0.68,16.76
311,0.6,15.07
311,0,0
312,-0.13,22.53
312,-0.22,23.14
312,0.27,19.1
313,0.51,26.26
313,1.09,26.25
313,0.82,20.83
314,1.17,38.02
314,3.76,32.42
314,0.66,29.71
315,0.74,21.04
315,0.94,18.4
315,0.87,16.35
316,0.58,16.67
316,1.24,15.71
316,0.32,13.4
317,0.64,21.93
317,1.05,19.22
317,0.8,16.93
318,0,0
318,0.89,18.4
318,0,0
319,0.7,19.52
319,1.16,17.82
319,0.81,15.02
320,1.16,21.3
320,0.81,20.8
320,1.24,16.67
321,1.15,21.29
321,0.8,20.8
321,1.23,16.66
322,0,0
322,0,0
322,0,0
323,0,0
323,-0.31,7.19
323,0,0
324,0.24,6.96
324,-0.2,5.47
324,0,0
325,0,0
325,-0.44,6.22
325,0,0
326,0.21,24.61
326,-0.23,26.85
326,0.48,20.27
327,0,0
327,0,0
327,0,0
328,0.54,26.25
328,1,25.66
328,1.08,20.72
329,0.55,19.9
329,0.55,19.14
329,0,0
330,0.92,18.89
330,0.86,17.92
330,0,0
